Course name,Course link,Course description,Price,Starting date,Whether it is live or self-paced,Number of lessons,Total duration in number of hours,Who the course is meant for
Security Awareness for Teams,https://vizuara.ai/courses/security-awareness-for-teams,"Designed around real workplace use cases, this programme teaches security awareness for teams through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. The course is meant for IT and engineering professionals who need security basics.",$185,2027-01-25,Self-paced,12,11,IT and engineering professionals who need security basics
Network Security Basics,https://vizuara.ai/courses/network-security-basics,"This course helps learners build strong working knowledge of network security basics with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It works well for operations and compliance teams responsible for internal controls.",$160,2026-10-19,Live,11,9,operations and compliance teams responsible for internal controls
Identity and Access Management,https://vizuara.ai/courses/identity-and-access-management,"A practical course on identity and access management that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. The course is meant for startup teams handling customer data.",$340,2026-05-04,Live,18,21,startup teams handling customer data
Ethical Hacking Introduction,https://vizuara.ai/courses/ethical-hacking-introduction,"This course gives a structured introduction to ethical hacking introduction, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for IT and engineering professionals who need security basics.",$155,2026-06-08,Self-paced,16,21,IT and engineering professionals who need security basics
Web Application Security,https://vizuara.ai/courses/web-application-security,"This course helps learners build strong working knowledge of web application security with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It works well for developers who want to build more secure products.",$140,2027-02-08,Self-paced,18,26,developers who want to build more secure products
Security Operations Center Basics,https://vizuara.ai/courses/security-operations-center-basics,"A practical course on security operations center basics that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It works well for students exploring cybersecurity careers.",$120,2026-04-20,Self-paced,24,23,students exploring cybersecurity careers
Threat Modeling for Builders,https://vizuara.ai/courses/threat-modeling-for-builders,"A practical course on threat modeling for builders that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is ideal for IT and engineering professionals who need security basics.",$370,2026-12-21,Live,16,21,IT and engineering professionals who need security basics
Incident Response Planning,https://vizuara.ai/courses/incident-response-planning,"This course helps learners build strong working knowledge of incident response planning with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is especially useful for operations and compliance teams responsible for internal controls.",$305,2026-06-22,Self-paced,14,16,operations and compliance teams responsible for internal controls
Cloud Security for Startups,https://vizuara.ai/courses/cloud-security-for-startups,"Designed around real workplace use cases, this programme teaches cloud security for startups through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It works well for IT and engineering professionals who need security basics.",$290,2026-08-24,Self-paced,24,21,IT and engineering professionals who need security basics
Data Privacy and Compliance,https://vizuara.ai/courses/data-privacy-and-compliance,"This course gives a structured introduction to data privacy and compliance, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is especially useful for operations and compliance teams responsible for internal controls.",$330,2027-03-08,Live,24,20,operations and compliance teams responsible for internal controls
API Security Essentials,https://vizuara.ai/courses/api-security-essentials,"Built for applied learning, this course covers api security essentials through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is especially useful for IT and engineering professionals who need security basics.",$190,2026-11-16,Live,17,21,IT and engineering professionals who need security basics
Secure Architecture Fundamentals,https://vizuara.ai/courses/secure-architecture-fundamentals,"This course helps learners build strong working knowledge of secure architecture fundamentals with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is ideal for students exploring cybersecurity careers.",$250,2027-03-08,Live,15,18,students exploring cybersecurity careers
Vulnerability Management,https://vizuara.ai/courses/vulnerability-management,"This course gives a structured introduction to vulnerability management, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for IT and engineering professionals who need security basics.",$270,2026-11-09,Live,13,13,IT and engineering professionals who need security basics
Zero Trust Basics,https://vizuara.ai/courses/zero-trust-basics,"This course helps learners build strong working knowledge of zero trust basics with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is ideal for IT and engineering professionals who need security basics.",$289,2026-07-13,Self-paced,18,12,IT and engineering professionals who need security basics
Product Management Foundations,https://vizuara.ai/courses/product-management-foundations,"This course helps learners build strong working knowledge of product management foundations with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is especially useful for designers who want stronger product thinking.",$250,2026-11-16,Self-paced,10,14,designers who want stronger product thinking
UX Research for Product Teams,https://vizuara.ai/courses/ux-research-for-product-teams,"Built for applied learning, this course covers ux research for product teams through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. The course is meant for startup teams building new digital products.",$209,2026-09-21,Self-paced,11,14,startup teams building new digital products
UI Design with Figma,https://vizuara.ai/courses/ui-design-with-figma,"A practical course on ui design with figma that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It works well for aspiring product managers and designers.",$160,2026-08-03,Self-paced,12,14,aspiring product managers and designers
Design Systems in Practice,https://vizuara.ai/courses/design-systems-in-practice,"This course helps learners build strong working knowledge of design systems in practice with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It works well for cross-functional teams improving customer experience.",$289,2026-10-19,Self-paced,17,26,cross-functional teams improving customer experience
Wireframing and Prototyping,https://vizuara.ai/courses/wireframing-and-prototyping,"Designed around real workplace use cases, this programme teaches wireframing and prototyping through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is especially useful for startup teams building new digital products.",$235,2026-08-24,Live,20,22,startup teams building new digital products
Product Discovery Workshops,https://vizuara.ai/courses/product-discovery-workshops,"This course helps learners build strong working knowledge of product discovery workshops with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is especially useful for founders making early product decisions.",$150,2027-03-01,Live,20,20,founders making early product decisions
Roadmapping for Product Managers,https://vizuara.ai/courses/roadmapping-for-product-managers,"Designed around real workplace use cases, this programme teaches roadmapping for product managers through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It works well for aspiring product managers and designers.",$239,2026-11-09,Self-paced,20,27,aspiring product managers and designers
Metrics for Product Decisions,https://vizuara.ai/courses/metrics-for-product-decisions,"This course gives a structured introduction to metrics for product decisions, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for founders making early product decisions.",$179,2026-11-23,Self-paced,21,27,founders making early product decisions
User Interviewing Basics,https://vizuara.ai/courses/user-interviewing-basics,"A practical course on user interviewing basics that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is especially useful for designers who want stronger product thinking.",$160,2027-03-22,Live,18,16,designers who want stronger product thinking
Growth Product Management,https://vizuara.ai/courses/growth-product-management,"A practical course on growth product management that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is especially useful for founders making early product decisions.",$290,2026-11-30,Self-paced,21,19,founders making early product decisions
B2B SaaS Product Strategy,https://vizuara.ai/courses/b2b-saas-product-strategy,"Designed around real workplace use cases, this programme teaches b2b saas product strategy through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is ideal for designers who want stronger product thinking.",$89,2027-01-11,Self-paced,8,10,designers who want stronger product thinking
Feature Prioritisation Frameworks,https://vizuara.ai/courses/feature-prioritisation-frameworks,"This course gives a structured introduction to feature prioritisation frameworks, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for designers who want stronger product thinking.",$249,2027-02-08,Live,9,7,designers who want stronger product thinking
Service Design Essentials,https://vizuara.ai/courses/service-design-essentials,"Designed around real workplace use cases, this programme teaches service design essentials through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is especially useful for startup teams building new digital products.",$230,2026-10-12,Live,8,8,startup teams building new digital products
Accessibility in Digital Products,https://vizuara.ai/courses/accessibility-in-digital-products,"This course helps learners build strong working knowledge of accessibility in digital products with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. The course is meant for cross-functional teams improving customer experience.",$109,2026-05-11,Self-paced,20,16,cross-functional teams improving customer experience
Design Thinking for Teams,https://vizuara.ai/courses/design-thinking-for-teams,"This course helps learners build strong working knowledge of design thinking for teams with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It works well for designers who want stronger product thinking.",$200,2027-01-11,Live,17,15,designers who want stronger product thinking
Business Communication at Work,https://vizuara.ai/courses/business-communication-at-work,"This course gives a structured introduction to business communication at work, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is especially useful for managers handling cross-functional teams.",$120,2026-11-30,Self-paced,20,21,managers handling cross-functional teams
Presentation Skills for Professionals,https://vizuara.ai/courses/presentation-skills-for-professionals,"This course helps learners build strong working knowledge of presentation skills for professionals with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It works well for founders and operators at growing startups.",$210,2027-02-08,Self-paced,17,15,founders and operators at growing startups
Writing Clear Emails and Reports,https://vizuara.ai/courses/writing-clear-emails-and-reports,"Built for applied learning, this course covers writing clear emails and reports through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It works well for students preparing for business roles.",$239,2026-07-20,Live,14,22,students preparing for business roles
Consultative Selling Basics,https://vizuara.ai/courses/consultative-selling-basics,"This course gives a structured introduction to consultative selling basics, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for founders and operators at growing startups.",$50,2026-09-28,Self-paced,19,17,founders and operators at growing startups
Negotiation for Managers,https://vizuara.ai/courses/negotiation-for-managers,"Designed around real workplace use cases, this programme teaches negotiation for managers through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. The course is meant for founders and operators at growing startups.",$119,2026-12-28,Self-paced,19,20,founders and operators at growing startups
Customer Success Foundations,https://vizuara.ai/courses/customer-success-foundations,"This course gives a structured introduction to customer success foundations, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for managers handling cross-functional teams.",$230,2027-02-01,Self-paced,18,24,managers handling cross-functional teams
Project Management Essentials,https://vizuara.ai/courses/project-management-essentials,"This course gives a structured introduction to project management essentials, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It works well for managers handling cross-functional teams.",$265,2027-02-22,Live,15,10,managers handling cross-functional teams
Agile for Non-Engineers,https://vizuara.ai/courses/agile-for-non-engineers,"A practical course on agile for non-engineers that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It works well for client-facing teams that need stronger communication and execution.",$169,2027-03-22,Live,14,11,client-facing teams that need stronger communication and execution
Leadership for First-Time Managers,https://vizuara.ai/courses/leadership-for-first-time-managers,"This course helps learners build strong working knowledge of leadership for first-time managers with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is ideal for young professionals building workplace communication skills.",$120,2026-08-31,Self-paced,12,15,young professionals building workplace communication skills
Finance Basics for Non-Finance Teams,https://vizuara.ai/courses/finance-basics-for-non-finance-teams,"A practical course on finance basics for non-finance teams that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is ideal for client-facing teams that need stronger communication and execution.",$290,2027-03-29,Live,11,17,client-facing teams that need stronger communication and execution
Operations Management Fundamentals,https://vizuara.ai/courses/operations-management-fundamentals,"A practical course on operations management fundamentals that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is especially useful for founders and operators at growing startups.",$189,2026-10-26,Self-paced,8,9,founders and operators at growing startups
Market Research for Startups,https://vizuara.ai/courses/market-research-for-startups,"Built for applied learning, this course covers market research for startups through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It works well for young professionals building workplace communication skills.",$219,2026-11-02,Self-paced,13,10,young professionals building workplace communication skills
B2B Marketing Fundamentals,https://vizuara.ai/courses/b2b-marketing-fundamentals,"This course helps learners build strong working knowledge of b2b marketing fundamentals with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is ideal for founders and operators at growing startups.",$60,2026-10-26,Self-paced,11,17,founders and operators at growing startups
Strategic Thinking for Teams,https://vizuara.ai/courses/strategic-thinking-for-teams,"Built for applied learning, this course covers strategic thinking for teams through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. The course is meant for managers handling cross-functional teams.",$239,2026-05-18,Live,8,9,managers handling cross-functional teams
Stakeholder Management Masterclass,https://vizuara.ai/courses/stakeholder-management-masterclass,"Designed around real workplace use cases, this programme teaches stakeholder management masterclass through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is especially useful for client-facing teams that need stronger communication and execution.",$290,2026-10-05,Live,13,19,client-facing teams that need stronger communication and execution
Resume and LinkedIn Makeover,https://vizuara.ai/courses/resume-and-linkedin-makeover,"Designed around real workplace use cases, this programme teaches resume and linkedin makeover through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is especially useful for working professionals improving day-to-day productivity.",$145,2026-04-20,Self-paced,13,18,working professionals improving day-to-day productivity
Interview Preparation for Tech Roles,https://vizuara.ai/courses/interview-preparation-for-tech-roles,"A practical course on interview preparation for tech roles that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is ideal for freelancers and independent consultants.",$60,2026-09-14,Self-paced,9,11,freelancers and independent consultants
Portfolio Building for Students,https://vizuara.ai/courses/portfolio-building-for-students,"Built for applied learning, this course covers portfolio building for students through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for job seekers preparing for interviews and applications.",$159,2027-01-25,Self-paced,9,7,job seekers preparing for interviews and applications
Career Transition into Data Roles,https://vizuara.ai/courses/career-transition-into-data-roles,"Built for applied learning, this course covers career transition into data roles through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. The course is meant for students and early-career professionals.",$120,2026-07-06,Live,11,10,students and early-career professionals
Notion for Personal Productivity,https://vizuara.ai/courses/notion-for-personal-productivity,"Designed around real workplace use cases, this programme teaches notion for personal productivity through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. The course is meant for working professionals improving day-to-day productivity.",$80,2026-04-06,Self-paced,9,11,working professionals improving day-to-day productivity
Google Sheets for Teams,https://vizuara.ai/courses/google-sheets-for-teams,"This course gives a structured introduction to google sheets for teams, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It works well for job seekers preparing for interviews and applications.",$70,2026-04-13,Self-paced,18,14,job seekers preparing for interviews and applications
Canva for Business Communication,https://vizuara.ai/courses/canva-for-business-communication,"Designed around real workplace use cases, this programme teaches canva for business communication through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is especially useful for students and early-career professionals.",$39,2026-07-27,Self-paced,9,11,students and early-career professionals
Automation with No-Code Tools,https://vizuara.ai/courses/automation-with-no-code-tools,"Built for applied learning, this course covers automation with no-code tools through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for working professionals improving day-to-day productivity.",$160,2027-03-15,Self-paced,17,12,working professionals improving day-to-day productivity
Zapier Workflows for Startups,https://vizuara.ai/courses/zapier-workflows-for-startups,"This course gives a structured introduction to zapier workflows for startups, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is especially useful for students and early-career professionals.",$170,2026-10-26,Self-paced,9,6,students and early-career professionals
Digital Research Skills,https://vizuara.ai/courses/digital-research-skills,"This course gives a structured introduction to digital research skills, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for startup teams streamlining internal workflows.",$65,2027-02-15,Self-paced,12,18,startup teams streamlining internal workflows
Documentation for Fast-Moving Teams,https://vizuara.ai/courses/documentation-for-fast-moving-teams,"Built for applied learning, this course covers documentation for fast-moving teams through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It works well for freelancers and independent consultants.",$120,2027-01-04,Live,8,6,freelancers and independent consultants
Knowledge Management Basics,https://vizuara.ai/courses/knowledge-management-basics,"This course helps learners build strong working knowledge of knowledge management basics with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is ideal for freelancers and independent consultants.",$115,2026-11-16,Self-paced,15,18,freelancers and independent consultants
Time Management for Professionals,https://vizuara.ai/courses/time-management-for-professionals,"A practical course on time management for professionals that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is especially useful for startup teams streamlining internal workflows.",$150,2026-07-13,Self-paced,7,7,startup teams streamlining internal workflows
Freelancing Fundamentals,https://vizuara.ai/courses/freelancing-fundamentals,"A practical course on freelancing fundamentals that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. The course is meant for working professionals improving day-to-day productivity.",$120,2026-08-24,Self-paced,17,12,working professionals improving day-to-day productivity
Remote Work Best Practices,https://vizuara.ai/courses/remote-work-best-practices,"This course gives a structured introduction to remote work best practices, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It works well for startup teams streamlining internal workflows.",$59,2026-05-11,Self-paced,13,10,startup teams streamlining internal workflows
